2013153,18281108331310,6,"394,373,774元","76,364,070元"
2013152,06041618291405,28,"353,968,798元","30,000,000元"
2013151,09330319102809,45,"376,460,226元","30,000,000元"
2013150,15260125291610,5,"409,001,896元","188,178,865元"
2013149,25183209263011,9,"369,490,424元","155,929,878元"
2013148,06221112141701,5,"354,333,120元","154,199,665元"
2013147,19301702151608,18,"400,947,352元","117,026,496元"
2013146,30202532330801,4,"404,451,866元","162,543,128元"
2013145,13102416230615,13,"364,933,776元","92,904,565元"
2013144,27193105120702,12,"406,764,784元","99,467,508元"
2013143,27183221221211,8,"364,973,022元","82,747,368元"
2013142,12202914221114,8,"356,100,256元","63,900,184元"
2013141,05043103253004,25,"409,703,546元","30,000,000元"
2013140,22121321050110,4,"359,556,480元","76,786,944元"
2013139,11270721130808,25,"372,082,440元","30,000,000元"
2013138,27282416150403,10,"402,650,432元","74,254,260元"
2013137,27170419242310,27,"379,293,130元","51,312,261元"
2013136,26161806041406,12,"369,164,734元","116,962,560元"
2013135,24310923292512,5,"406,720,240元","139,074,525元"
2013134,25171801192910,16,"372,289,714元","82,346,272元"
2013133,22120407251901,12,"361,709,328元","119,827,596元"
2013132,22272023252112,25,"420,848,208元","124,670,825元"
2013131,19121726060409,18,"388,319,260元","199,798,632元"
2013130,03011633153108,12,"385,080,972元","256,689,792元"
2013129,27311405100614,4,"418,710,844元","262,553,088元"
2013128,25311713071908,8,"381,844,688元","201,975,928元"
2013127,22130320023314,5,"376,726,836元","197,309,615元"
2013126,19310433102716,5,"408,866,622元","162,711,340元"
2013125,28250408180616,8,"372,984,566元","123,047,728元"
2013124,09153003252307,8,"347,249,642元","107,102,896元"
2013123,25021117010602,12,"385,822,278元","86,159,328元"
2013122,27071026151311,10,"345,544,080元","75,670,240元"
2013121,07060525270407,5,"337,100,116元","60,671,480元"
2013120,06231813053111,47,"404,684,072元","36,491,411元"
2013119,20262215320509,9,"357,071,040元","240,588,702元"
2013118,33320217032216,6,"343,511,272元","243,272,184元"
2013117,33272412091316,19,"368,579,726元","217,864,773元"
2013116,21331232261507,2,"312,633,700元","259,236,778元"
2013115,03182717161208,13,"319,974,332元","211,959,722元"
2013114,21170406332307,5,"398,506,774元","240,677,850元"
2013113,33240704171109,7,"353,992,568元","202,421,233元"
2013112,31131222010607,12,"344,881,702元","199,580,280元"
2013111,06023303010813,22,"401,502,238元","216,014,150元"
2013110,21181729321513,4,"341,867,256元","271,666,100元"
2013109,24092329322708,5,"351,155,742元","248,456,620元"
2013108,31322128162205,3,"384,725,718元","244,712,259元"
2013107,17112831070911,7,"349,907,348元","206,293,472元"
2013106,11320923303106,4,"344,715,810元","192,566,520元"
2013105,11270131322309,5,"380,197,404元","180,328,590元"
2013104,17022804150111,4,"339,771,188元","161,543,208元"
2013103,04200918021307,5,"329,389,008元","129,386,045元"
2013102,16050802060403,12,"374,113,680元","112,762,404元"
